SITE|FECHA|SEGMENTO|SENT_TG|SENT_CG|INSTALLS_TG|INSTALLS_CG|GASTO_TG|INSTALL_TOUCH|BUYERS_2D|BUYERS_5D|BUYERS_30D|GMV INSTALL|REVENUE|TC|GMV_INC_30D|REVENUE_INC_30D|FREQ_INC_30D|SENT_MAIL|SENT_CAMP|OPEN_MAIL|OPEN_CAMP
MLC|2020-12-07|BAJO|150743.0|26603.0|865.0|65.0|1150.335932|518.0|278|300.0|362.0|12467.8|997.424|747.6077|23370.33548|1868.883139|472.74349759999996|65108.0|126809.0|8033.0|433.0
MLA|2020-12-08|ALTO|462157.0|81396.0|1712.0|264.0|0.0|974.0|353|456.0|763.0|35611.93|3383.13335|81.65|43023.10685|4087.195151|560.1416642999999|171254.0|429226.0|15505.0|1283.0
MLA|2020-12-08|MEDIO|373465.0|65857.0|2722.0|200.0|2250.459277|1816.0|877|1001.0|1278.0|40575.59|3854.68105|81.65|59036.00657000001|5580.8583549999985|1373.337583|170572.0|349226.0|18632.0|3759.0
MLA|2020-12-08|BAJO|394847.0|69888.0|2530.0|183.0|3545.6215549999997|1703.0|852|950.0|1186.0|36619.81|3478.88195|81.65|54471.5858|5131.376014|1280.365033|145455.0|369262.0|15413.0|3349.0
MCO|2020-12-15|ALTO|195182.0|50000.0|731.0|176.0|0.0|394.0|166|198.0|253.0|8902.97|908.10294|3427.0048|9544.033577|973.3936758|290.8678966|79418.0|165655.0|7025.0|294.0
MCO|2020-12-15|MEDIO|123308.0|50000.0|813.0|116.0|532.2431997|531.0|266|307.0|349.0|8638.16|881.09232|3427.0048|9544.033577|973.3936758|290.8678966|50539.0|104576.0|4961.0|693.0
MCO|2020-12-15|BAJO|111126.0|50000.0|482.0|113.0|472.71599969999994|295.0|159|177.0|199.0|5088.08|518.98416|3427.0048|9544.033577|973.3936758|290.8678966|45706.0|94504.0|3121.0|411.0
MLC|2020-12-21|ALTO|125362.0|50000.0|597.0|196.0|0.0|353.0|179|205.0|287.0|15660.76|1252.8608|723.8509|14132.79749|1130.223005|314.3847776|59272.0|106452.0|4632.0|193.0
MLC|2020-12-21|MEDIO|103642.0|50000.0|558.0|184.0|331.5599939|343.0|187|193.0|255.0|9192.58|735.4064|723.8509|14132.79749|1130.223005|314.3847776|41681.0|88084.0|3619.0|401.0
MLC|2020-12-21|BAJO|112517.0|50000.0|561.0|157.0|538.7849901000002|340.0|179|188.0|223.0|9190.06|735.2048|723.8509|14132.79749|1130.223005|314.3847776|45349.0|94637.0|3459.0|398.0
MLM|2020-12-21|ALTO|357301.0|50000.0|1713.0|243.0|0.0|903.0|420|483.0|720.0|25987.8|2858.658|20.0905|41040.479289999996|4514.452722|822.0497957|94933.0|254472.0|5085.0|789.0
MLM|2020-12-21|MEDIO|291365.0|50000.0|2418.0|234.0|2302.480277|1590.0|839|926.0|1190.0|36873.46|4056.0806|20.0905|58298.1885|6298.1953109999995|1510.526065|100709.0|246087.0|6660.0|2933.0
MLM|2020-12-21|BAJO|293215.0|50000.0|2252.0|180.0|3718.175257|1444.0|791|841.0|1027.0|33228.2|3655.1020000000003|20.0905|47516.20877|5041.711649|1246.071058|96931.0|247575.0|4569.0|2330.0
MCO|2020-12-22|ALTO|184994.0|50000.0|495.0|150.0|0.0|240.0|98|112.0|170.0|5266.52|537.1850400000002|3442.4593|6344.138671|647.0521045|156.6975749|70634.0|156940.0|4071.0|233.0
MCO|2020-12-22|MEDIO|113273.0|50000.0|461.0|100.0|250.98335950000003|263.0|124|135.0|159.0|3356.88|342.40176|3442.4593|6344.138671|647.0521045|156.6975749|43748.0|95917.0|2844.0|456.0
MCO|2020-12-22|BAJO|105395.0|50000.0|328.0|93.0|265.79834950000003|207.0|106|110.0|132.0|4800.74|489.67548|3442.4593|6344.138671|647.0521045|156.6975749|42125.0|89531.0|2114.0|288.0
